number, theta_1, theta_2, theta_3, theta_4, theta_5, theta_6, theta_7, tau_1, tau_2, tau_3, tau_4, tau_5, tau_6, tau_7, m_00, m_01, m_02, m_03, m_10, m_11, m_12, m_13, m_20, m_21, m_22, m_23, m_30, m_31, m_32, m_33
31, 1.376168018700205, 1.501709006237315, -0.962750549529983, -1.081907480572172, 2.652403492854960, -0.742622838625317, 1.861975838802621, 0.833434829711914, 67.599630187988282, 20.862244205474852, -8.245151205062866, 1.722893695831299, 1.054822179794312, -0.399834510803223, 0.410353410539421, -0.174661140980070, 0.895043889588776, 532.025066796479791, 0.377474795074250, -0.860922594178718, -0.341064606660147, 482.235021867589410, 0.830134240675759, 0.477813533362260, -0.287352344332796, 132.364382035376480, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
32, 1.393047499848098, 0.973693015672109, -0.910573391530913, -1.510992855668070, 2.098000450193670, -0.575967570750677, 2.245719528224039, -0.010753997802734, 55.737970611572266, 18.871716537475585, -15.629295749664307, 1.569268274307251, 1.257910076141358, -0.378808155059814, 0.305770948973486, -0.207912985912968, 0.929126642096010, 533.989347570134555, 0.161168817152188, -0.950479676196300, -0.265731062383646, 386.296708374525053, 0.938364928554781, 0.230999081007979, -0.257119982560382, 334.328481600548116, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
33, 1.095302128801852, 1.204170183345000, -0.722920353465353, -1.195155409743013, 2.044245401171649, -0.641658230628859, 0.908649863509990, 0.776976341247559, 67.044455051422119, 17.253147268295287, -15.762232360839842, 1.655545015335083, 1.694624147415161, 0.078264768600464, 0.304685366890975, 0.263446113594266, 0.915293926798703, 633.004225750477076, 0.949728973731193, -0.011405230887417, -0.312865461762559, 384.257848344797480, -0.071984051414232, 0.964606689765566, -0.253677414054762, 233.562166075225321, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
34, 1.081788387321758, 0.780051400556915, -0.806601072582312, -1.431100529731580, 1.810875535217242, -0.453292880281309, -1.703706292579892, 0.795795837402344, 54.777504182815548, 15.167539110183714, -21.151007175445557, 1.407719478607178, 1.159953958511353, 0.029203271865845, -0.308025523311580, -0.048790603162137, 0.950126177953067, 635.465640128312430, -0.791516209778684, 0.567235853517156, -0.227476539762345, 288.810253544724731, -0.527846915919960, -0.822108851386323, -0.213341673908424, 435.316412953756071, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
35, 0.611534862737360, 1.078840657445451, 0.178324277713461, -1.194848433816873, 1.306972578186746, -1.095623545745830, -2.094033665765187, 0.727239101409912, 69.757823122024533, -1.642339391708374, -20.423817501068115, 1.975561294555664, 1.875016929626465, 0.183062795639038, -0.322445081494418, -0.237568645109850, 0.916291606575510, 632.927675169214695, -0.946563699488366, 0.087883815856182, -0.310312097285064, 384.740791882987821, -0.006806778309639, -0.967386982428039, -0.253211559763406, 233.669893420159241, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
36, 0.460889710385144, 1.122941436603378, 0.455167093151610, -1.194847355203397, 1.119966658312486, -1.228108792416014, -2.013406766799329, 0.684223110198975, 69.557529912948610, -7.569903650283814, -18.994528837203980, 2.074603471755982, 1.773890171051025, -0.201586013793945, -0.351959300463313, -0.191351803072351, 0.916247312835534, 633.024767328503117, -0.925932659660803, 0.214467448856356, -0.310889728287248, 384.860885597365325, -0.137015913640891, -0.957803842570078, -0.252662697221307, 233.908373211041720, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
37, 0.721383136947874, 0.827388220039083, 0.377690337585538, -1.115627044678133, 1.549139632236115, -1.317848735692739, -1.104164103627657, -0.223145454406738, 65.281471536636360, -4.113991947174072, -23.898217077255246, 2.137990465164185, 0.961872337341309, -0.323906003952026, -0.362180009108318, 0.254111611088726, 0.896801499838282, 532.777252589371756, -0.075210453736438, 0.951017578034205, -0.299848218134966, 485.568606377718140, -0.929068904146005, -0.176047878089590, -0.325327705504918, 431.362498398515925, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
38, 0.583481500005881, 1.356435992424605, 0.792456691175232, -1.333591513134372, 0.960277916274234, -1.705131336786473, -0.441871015063859, 0.563912759780884, 64.988425096511833, -15.077300682067872, -9.731224050521849, 1.710568447113037, 2.160708366394043, -0.301878393173218, -0.267373957648074, 0.309566593505718, 0.912512844269532, 432.630768433728917, 0.070304809059740, 0.950733293658544, -0.301932837154642, 484.245295732126181, -0.961024661803577, -0.016574936333018, -0.275965343640967, 134.150688114394882, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
39, 0.349308397424125, 1.222072607965887, 1.510813122261861, -1.366132728341922, 0.690465748280156, -1.977513713635081, 0.304233510523699, 0.629780996322632, 59.990504617691045, -22.338192739486693, -8.286969013214112, 2.253759765625000, 0.637298830032349, -0.311056564331055, 0.212605142003693, 0.351933102998796, 0.911560280292657, 433.854593822001959, 0.956431184938002, 0.116083895467120, -0.267887882688390, 486.372542462973399, -0.200096082099774, 0.928799020362757, -0.311919761639918, 433.255264265696837, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
40, 0.671099097007374, 1.638231917938443, 1.549777372729721, -0.665351942026290, 0.345573082269601, -1.713804440152991, 1.152526892547406, -0.373701423645020, 76.462268627166736, -13.893636617660523, 0.245184412002563, 2.394619750976562, 0.256488164901733, -0.296538366317749, 0.512386616156844, 0.022982489215639, 0.858447296444454, 531.180400023482889, 0.655781128542604, -0.655880545219586, -0.373860698455786, 581.467903971269493, 0.554446631363856, 0.754514755052485, -0.351135895882720, 230.386206746854754, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
